model,pruned,predicate,data,scale,threads,toolchain,time
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,0,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.21314424701267853
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,1,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.17397653268805394
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.18787041667383164


nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,0,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.21806838449992938
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,1,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.17967938399669947
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.19373078774515307

nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,13.120699882507319,nyc-taxi-green-dec-2016,1G,1,gcc,0.1962930866284296
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,0,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.19581528624999578
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,1,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.17773006912500477
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.1804040178749915
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,0,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.17943360462493274
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,1,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.17997418775007645
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,1.701778,nyc-taxi-green-dec-2016,1G,1,gcc,0.17633112362494785
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,0,1.701778,nyc-taxi-green-dec-2016,1G,1,clang,0.18567598599997837
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,1,1.701778,nyc-taxi-green-dec-2016,1G,1,clang,0.16805998175004788
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015054511,2,1.701778,nyc-taxi-green-dec-2016,1G,1,clang,0.17513268700002982
