model,pruned,predicate,data,scale,threads,time
Ailerons_d10_l703_n1405_20240919065427,0,0.0,Ailerons,1G,2,0.6849648876426121
Ailerons_d10_l703_n1405_20240919065427,1,-0.00318,Ailerons,1G,2,0.6027115230293324
Ailerons_d10_l703_n1405_20240919065427,2,-0.00318,Ailerons,1G,2,0.6071917503140867
Ailerons_d10_l703_n1405_20240919065427,1,-0.00286,Ailerons,1G,2,0.5999952246590207
Ailerons_d10_l703_n1405_20240919065427,2,-0.00286,Ailerons,1G,2,0.5956968613900244
Ailerons_d10_l703_n1405_20240919065427,1,-0.00254,Ailerons,1G,2,0.6067319922925284
Ailerons_d10_l703_n1405_20240919065427,2,-0.00254,Ailerons,1G,2,0.652672385952125
Ailerons_d10_l703_n1405_20240919065427,1,-0.00222,Ailerons,1G,2,0.6054869893317422
Ailerons_d10_l703_n1405_20240919065427,2,-0.00222,Ailerons,1G,2,0.6095135163826247
Ailerons_d10_l703_n1405_20240919065427,1,-0.0019,Ailerons,1G,2,0.6841584103337178
Ailerons_d10_l703_n1405_20240919065427,2,-0.0019,Ailerons,1G,2,0.5871291110136857
Ailerons_d10_l703_n1405_20240919065427,1,-0.00158,Ailerons,1G,2,0.6758164383160571
Ailerons_d10_l703_n1405_20240919065427,2,-0.00158,Ailerons,1G,2,0.6238764053365836
Ailerons_d10_l703_n1405_20240919065427,1,-0.00126,Ailerons,1G,2,0.7338935086348405
Ailerons_d10_l703_n1405_20240919065427,2,-0.00126,Ailerons,1G,2,0.743219226365909
Ailerons_d10_l703_n1405_20240919065427,1,-0.00094,Ailerons,1G,2,0.6402766543906182
Ailerons_d10_l703_n1405_20240919065427,2,-0.00094,Ailerons,1G,2,0.6446836409935107
Ailerons_d10_l703_n1405_20240919065427,1,-0.00062,Ailerons,1G,2,0.6469132079898069
Ailerons_d10_l703_n1405_20240919065427,2,-0.00062,Ailerons,1G,2,0.6402592836723974
Ailerons_d10_l703_n1405_20240919065427,1,-0.0003,Ailerons,1G,2,0.6704280643413464
Ailerons_d10_l703_n1405_20240919065427,2,-0.0003,Ailerons,1G,2,0.6740472340025008
nyc-taxi-green-dec-2016_d10_l451_n901_20240919070555,0,0.0,nyc-taxi-green-dec-2016,1G,2,1.6073017253074795
nyc-taxi-green-dec-2016_d10_l451_n901_20240919070555,1,0.420043,nyc-taxi-green-dec-2016,1G,2,1.511925210012123
