model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,0,0.0,nyc-taxi-green-dec-2016,10G,1,16.538977239901822
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,0.425445,nyc-taxi-green-dec-2016,10G,1,14.9576170326521
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,0.425445,nyc-taxi-green-dec-2016,10G,1,16.52252848430847
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,0.850889,nyc-taxi-green-dec-2016,10G,1,15.406435327604413
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,0.850889,nyc-taxi-green-dec-2016,10G,1,16.279241589363664
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,1.276334,nyc-taxi-green-dec-2016,10G,1,13.851246067633232
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,1.276334,nyc-taxi-green-dec-2016,10G,1,18.065810007198404
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,1.701778,nyc-taxi-green-dec-2016,10G,1,12.70023915078491
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,1.701778,nyc-taxi-green-dec-2016,10G,1,12.514735422252366
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,2.127223,nyc-taxi-green-dec-2016,10G,1,10.489313434654226
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,2.127223,nyc-taxi-green-dec-2016,10G,1,9.489098544232547
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,2.552668,nyc-taxi-green-dec-2016,10G,1,10.190288630935052
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,2.552668,nyc-taxi-green-dec-2016,10G,1,10.775407366609821
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,2.978112,nyc-taxi-green-dec-2016,10G,1,9.210864789007852
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,2.978112,nyc-taxi-green-dec-2016,10G,1,9.194707935831198
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,3.403557,nyc-taxi-green-dec-2016,10G,1,9.154780646320432
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,3.403557,nyc-taxi-green-dec-2016,10G,1,7.715720704135795
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,3.829001,nyc-taxi-green-dec-2016,10G,1,7.656937218892078
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,3.829001,nyc-taxi-green-dec-2016,10G,1,7.942977755485724
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,1,4.254446,nyc-taxi-green-dec-2016,10G,1,7.6855377129589515
nyc-taxi-green-dec-2016_d10_l858_n1715_20241015131513,2,4.254446,nyc-taxi-green-dec-2016,10G,1,7.651190091390163
