model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,0,1.275,nyc-taxi-green-dec-2016,1G,1,1.9901358392089605
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,1,1.275,nyc-taxi-green-dec-2016,1G,1,1.79528056550771
nyc-taxi-green-dec-2016_t100_d10_l836_n1671_20250205174051,0,1.275,nyc-taxi-green-dec-2016,1G,48,25.281369383446872
nyc-taxi-green-dec-2016_t100_d10_l836_n1671_20250205174051,1,1.275,nyc-taxi-green-dec-2016,1G,48,24.69018334709108
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,1,18.921552653424442
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,1,13.916639403440058
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,1,19.015454601496458
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,1,13.794636930339038
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,8.756144559010863
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,4,7.0562542686238885
bank-marketing_t3_d2_l4_n7_20250209151527,0,1.0,bank-marketing,1G,1,3.58683053124696
bank-marketing_t3_d2_l4_n7_20250209151527,1,1.0,bank-marketing,1G,1,1.6388568626716733
bank-marketing_t10_d10_l318_n635_20250210050038,0,1.0,bank-marketing,1G,4,13.740511664189398
bank-marketing_t10_d10_l318_n635_20250210050038,1,1.0,bank-marketing,1G,4,8.186616442166269
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,0,1.275,nyc-taxi-green-dec-2016,1G,1,1.9446590719744563
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,1,1.275,nyc-taxi-green-dec-2016,1G,1,1.8782649170607328
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,16,1.7889239750802517
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,16,1.3002649815753102
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,0,1.275,nyc-taxi-green-dec-2016,1G,1,1.97052251547575
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,1,1.275,nyc-taxi-green-dec-2016,1G,1,1.82641058601439
nyc-taxi-green-dec-2016_t3_d2_l4_n7_20250204160726,2,1.275,nyc-taxi-green-dec-2016,1G,1,1.5196063946932554
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,16,1.790071594528854
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,16,1.3252044385299087
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,16,1.3566205687820911
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,16,1.7897705007344484
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,16,1.2739286869764328
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,16,1.2049299580976367
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,7.710299572907388
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,4,6.188748685643077
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,4,6.262415201403201
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,8.782009285874665
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,4,7.192489026114345
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,4,6.882832797244191
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,8.885811697691679
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,4,7.321211722679436
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,4,6.902262540534139
bank-marketing_t10_d10_l318_n635_20250210050038,0,1.0,bank-marketing,1G,4,13.455936972983181
bank-marketing_t10_d10_l318_n635_20250210050038,1,1.0,bank-marketing,1G,4,8.062403529882431
bank-marketing_t10_d10_l318_n635_20250210050038,2,1.0,bank-marketing,1G,4,8.150777595117688
bank-marketing_t10_d10_l318_n635_20250210050038,0,1.0,bank-marketing,1G,4,13.360405559651554
bank-marketing_t10_d10_l318_n635_20250210050038,1,1.0,bank-marketing,1G,4,8.248411038890481
bank-marketing_t10_d10_l318_n635_20250210050038,2,1.0,bank-marketing,1G,4,8.148728876374662
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,8.776880644261837
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,1,1.275,nyc-taxi-green-dec-2016,1G,4,7.272521930746734
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,2,1.275,nyc-taxi-green-dec-2016,1G,4,7.0648095374926925
nyc-taxi-green-dec-2016_t10_d10_l849_n1698_20250209144203,0,1.275,nyc-taxi-green-dec-2016,1G,4,8.499416909180582
