model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,0,0.0,nyc-taxi-green-dec-2016,1G,1,1.6013386074143152
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,0.425445,nyc-taxi-green-dec-2016,1G,1,1.6107591112765174
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,0.425445,nyc-taxi-green-dec-2016,1G,1,1.6264189950500925
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,0.850889,nyc-taxi-green-dec-2016,1G,1,1.4997956332129736
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,0.850889,nyc-taxi-green-dec-2016,1G,1,1.6435817200690508
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,1.276334,nyc-taxi-green-dec-2016,1G,1,1.4771194152223568
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,1.276334,nyc-taxi-green-dec-2016,1G,1,1.481152516324073
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,1.701778,nyc-taxi-green-dec-2016,1G,1,1.2031753493162494
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,1.701778,nyc-taxi-green-dec-2016,1G,1,1.1238576366255681
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,2.127223,nyc-taxi-green-dec-2016,1G,1,1.195053100741158
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,2.127223,nyc-taxi-green-dec-2016,1G,1,1.0478433969741066
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,2.552668,nyc-taxi-green-dec-2016,1G,1,1.2829480860382318
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,2.552668,nyc-taxi-green-dec-2016,1G,1,0.9565965620179971
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,2.978112,nyc-taxi-green-dec-2016,1G,1,1.0453674249971907
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,2.978112,nyc-taxi-green-dec-2016,1G,1,0.7559936962400874
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,3.403557,nyc-taxi-green-dec-2016,1G,1,1.0428544200646381
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,3.403557,nyc-taxi-green-dec-2016,1G,1,0.9289956643866996
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,3.829001,nyc-taxi-green-dec-2016,1G,1,0.9607558005178968
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,3.829001,nyc-taxi-green-dec-2016,1G,1,0.8570046395373841
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,1,4.254446,nyc-taxi-green-dec-2016,1G,1,0.939814616770794
nyc-taxi-green-dec-2016_d10_l859_n1717_20241015165634,2,4.254446,nyc-taxi-green-dec-2016,1G,1,0.8147409892020127
